target,Age,Maori,Sex,Area,target_binary
3,18-29,No,Female,Christchurch City,0
2,40-49,No,Male,Whakatane District,0
2,40-49,No,Female,Napier City,0
3,18-29,No,Male,Waipa District,0
4,18-29,No,Female,Christchurch City,1
3,18-29,No,Male,Christchurch City,0
4,18-29,No,Female,Auckland,1
4,18-29,Yes,Female,Christchurch City,1
4,18-29,No,Male,Auckland,1
3,40-49,No,Male,Wellington City,0
1,40-49,No,Female,Hamilton City,0
1,30-39,No,Female,Auckland,0
3,65+,No,Male,Wellington City,0
3,30-39,No,Male,Lower Hutt City,0
3,40-49,No,Female,Auckland,0
3,65+,No,Male,Hastings District,0
1,18-29,No,Male,Wellington City,0
3,50-64,Yes,Male,Upper Hutt City,0
1,40-49,No,Male,Hurunui District,0
4,18-29,No,Female,Auckland,1
4,30-39,No,Female,Christchurch City,1
1,40-49,No,Female,Selwyn District,0
4,50-64,No,Female,Auckland,1
2,40-49,No,Male,Auckland,0
3,30-39,No,Female,Waikato District,0
2,18-29,No,Female,Whangarei District,0
1,40-49,No,Female,Waikato District,0
3,65+,No,Female,Dunedin City,0
3,18-29,Yes,Female,Auckland,0
4,18-29,No,Female,Auckland,1
5,40-49,Yes,Female,Auckland,1
4,30-39,Yes,Female,Tasman District,1
1,30-39,No,Female,Central Otago District,0
1,65+,No,Male,Thames-Coromandel District,0
1,40-49,No,Male,Porirua City,0
4,40-49,Yes,Male,Dunedin City,1
2,40-49,Yes,Female,Ashburton District,0
1,30-39,No,Female,Wellington City,0
5,30-39,No,Female,Auckland,1
4,18-29,No,Female,Dunedin City,1
2,50-64,No,Male,Christchurch City,0
5,18-29,No,Male,Lower Hutt City,1
5,40-49,Yes,Female,Horowhenua District,1
3,18-29,No,Male,Dunedin City,0
3,40-49,No,Female,Hastings District,0
4,30-39,No,Male,Auckland,1
5,30-39,Yes,Female,Thames-Coromandel District,1
3,30-39,No,Male,New Plymouth District,0
2,30-39,No,Male,Upper Hutt City,0
1,30-39,No,Male,Palmerston North City,0
4,30-39,No,Male,Wellington City,1
4,18-29,No,Female,Hastings District,1
1,30-39,Yes,Male,Auckland,0
3,30-39,No,Female,Southland District,0
3,30-39,No,Female,Auckland,0
3,50-64,No,Female,Auckland,0
3,40-49,No,Male,Auckland,0
3,30-39,No,Male,Auckland,0
1,30-39,No,Female,Whanganui District,0
3,50-64,No,Male,Napier City,0
3,18-29,No,Female,Selwyn District,0
1,30-39,No,Male,Auckland,0
3,18-29,No,Female,Wellington City,0
2,30-39,No,Male,Hauraki District,0
3,30-39,No,Female,Tauranga City,0
5,65+,No,Male,Hamilton City,1
3,50-64,No,Female,Masterton District,0
1,40-49,No,Male,Christchurch City,0
4,50-64,No,Female,Auckland,1
3,18-29,No,Female,Auckland,0
2,30-39,No,Female,Palmerston North City,0
4,65+,No,Female,Christchurch City,1
1,50-64,No,Male,Auckland,0
3,50-64,Yes,Male,Tauranga City,0
3,18-29,No,Male,Auckland,0
3,40-49,No,Male,Auckland,0
1,18-29,No,Male,Dunedin City,0
2,50-64,No,Female,Tauranga City,0
3,30-39,No,Female,Auckland,0
1,50-64,No,Male,Tararua District,0
4,18-29,Yes,Female,Auckland,1
5,40-49,No,Male,Wellington City,1
4,18-29,No,Male,Wellington City,1
4,30-39,No,Male,Dunedin City,1
2,18-29,No,Male,Kapiti Coast District,0
4,18-29,No,Male,Wellington City,1
3,30-39,No,Male,Tasman District,0
3,30-39,No,Female,Auckland,0
5,50-64,Yes,Male,Nelson City,1
3,40-49,No,Male,Auckland,0
1,65+,No,Male,Waikato District,0
3,30-39,No,Male,Invercargill City,0
2,50-64,No,Male,Christchurch City,0
4,40-49,No,Male,Dunedin City,1
3,30-39,No,Male,Auckland,0
4,50-64,No,Female,Wellington City,1
3,30-39,No,Male,Christchurch City,0
1,50-64,No,Male,Matamata-Piako District,0
3,40-49,No,Male,Palmerston North City,0
2,18-29,No,Female,Dunedin City,0
3,50-64,No,Male,Whangarei District,0
2,30-39,No,Female,Tauranga City,0
5,18-29,No,Female,Dunedin City,1
1,30-39,No,Male,Tauranga City,0
4,18-29,No,Female,Auckland,1
1,18-29,No,Female,Auckland,0
3,50-64,No,Female,Tararua District,0
1,30-39,No,Female,Waipa District,0
1,18-29,No,Female,Auckland,0
3,40-49,No,Female,Buller District,0
3,50-64,No,Female,Palmerston North City,0
4,30-39,Yes,Female,Auckland,1
4,40-49,No,Male,Auckland,1
3,40-49,No,Female,Napier City,0
2,50-64,No,Female,Hamilton City,0
2,50-64,No,Female,Upper Hutt City,0
3,65+,No,Female,Tasman District,0
3,65+,No,Female,Hamilton City,0
3,50-64,No,Male,Christchurch City,0
4,30-39,No,Female,Upper Hutt City,1
1,18-29,No,Female,Napier City,0
3,50-64,No,Female,Auckland,0
5,30-39,No,Female,Wellington City,1
3,30-39,No,Male,Wellington City,0
4,30-39,No,Female,Auckland,1
3,18-29,No,Female,Wellington City,0
1,50-64,No,Female,Auckland,0
3,50-64,No,Male,Auckland,0
2,65+,No,Male,Auckland,0
2,18-29,No,Male,Christchurch City,0
3,30-39,No,Male,Auckland,0
4,65+,No,Male,Porirua City,1
3,18-29,No,Female,Grey District,0
1,40-49,No,Male,Tauranga City,0
2,40-49,No,Male,Auckland,0
2,50-64,No,Male,Lower Hutt City,0
3,40-49,No,Female,Christchurch City,0
4,30-39,No,Male,Christchurch City,1
4,18-29,No,Female,Christchurch City,1
4,30-39,No,Male,Nelson City,1
2,50-64,No,Female,Tauranga City,0
1,50-64,No,Female,Selwyn District,0
1,50-64,No,Female,Whanganui District,0
1,50-64,No,Female,Auckland,0
3,40-49,No,Female,Queenstown-Lakes District,0
4,18-29,No,Female,Waikato District,1
1,40-49,No,Male,Auckland,0
2,30-39,No,Male,Tauranga City,0
3,50-64,No,Female,Timaru District,0
1,65+,No,Male,Waitaki District,0
1,30-39,No,Female,Auckland,0
3,30-39,No,Male,Nelson City,0
1,18-29,No,Female,Waipa District,0
3,40-49,No,Male,Auckland,0
3,18-29,No,Female,Auckland,0
2,50-64,No,Male,Wellington City,0
5,18-29,No,Female,Christchurch City,1
1,50-64,No,Female,Auckland,0
5,18-29,Yes,Female,Porirua City,1
3,65+,No,Male,Auckland,0
5,30-39,Yes,Female,Gisborne District,1
1,18-29,No,Female,Auckland,0
3,30-39,No,Male,Auckland,0
3,65+,No,Male,Upper Hutt City,0
1,65+,No,Male,Tauranga City,0
3,30-39,No,Male,Central Otago District,0
5,30-39,No,Female,Lower Hutt City,1
5,18-29,No,Female,Southland District,1
3,18-29,No,Female,Auckland,0
2,18-29,Yes,Female,Taupo District,0
2,50-64,No,Male,Auckland,0
4,18-29,No,Female,Auckland,1
3,18-29,No,Female,Wellington City,0
4,65+,No,Female,South Taranaki District,1
3,30-39,No,Female,Wellington City,0
1,18-29,No,Male,Auckland,0
2,50-64,No,Male,Christchurch City,0
2,50-64,No,Female,Hamilton City,0
4,50-64,No,Male,Taupo District,1
1,18-29,Yes,Female,Masterton District,0
