Area,Ethnic group,Sex,Maori,Age,count,pred_cells
Christchurch City,Non-Maori,Male,No,18-29,27818,0.2640205100014728
Christchurch City,Non-Maori,Male,No,30-39,19575,0.19134736708327804
Christchurch City,Non-Maori,Male,No,40-49,21900,0.14765183031870827
Christchurch City,Non-Maori,Male,No,50-64,29697,0.13193837991844712
Christchurch City,Non-Maori,Male,No,65+,21942,0.11630076369147115
Clutha District,Maori,Female,Yes,18-29,122,0.583121956444967
Clutha District,Maori,Female,Yes,30-39,105,0.4798856368004354
Clutha District,Maori,Female,Yes,40-49,105,0.4031493099692836
Clutha District,Maori,Female,Yes,50-64,93,0.3721160445848625
Clutha District,Maori,Female,Yes,65+,33,0.3391332682462385
Clutha District,Maori,Male,Yes,18-29,151,0.5003702830878437
Clutha District,Maori,Male,Yes,30-39,87,0.3978042760189698
Clutha District,Maori,Male,Yes,40-49,102,0.3259673136848303
Clutha District,Maori,Male,Yes,50-64,117,0.29790980335416667
Clutha District,Maori,Male,Yes,65+,45,0.26868972374405775
Clutha District,Non-Maori,Female,No,18-29,800,0.24667999412087022
Clutha District,Non-Maori,Female,No,30-39,834,0.17762794936221402
Clutha District,Non-Maori,Female,No,40-49,1167,0.1365363627790526
Clutha District,Non-Maori,Female,No,50-64,1605,0.12183675473817784
Clutha District,Non-Maori,Female,No,65+,1365,0.10724848303781034
Clutha District,Non-Maori,Male,No,18-29,963,0.1899215984285344
Clutha District,Non-Maori,Male,No,30-39,849,0.13393292779540997
Clutha District,Non-Maori,Male,No,40-49,1227,0.10169949484017865
Clutha District,Non-Maori,Male,No,50-64,1776,0.09035796906966305
Clutha District,Non-Maori,Male,No,65+,1215,0.07919891954393199
Dunedin City,Maori,Female,Yes,18-29,1145,0.6758607658518485
Dunedin City,Maori,Female,Yes,30-39,507,0.5790099337087367
Dunedin City,Maori,Female,Yes,40-49,531,0.5017128187600717
Dunedin City,Maori,Female,Yes,50-64,435,0.46905502185273107
Dunedin City,Maori,Female,Yes,65+,147,0.4334109867440829
Dunedin City,Maori,Male,Yes,18-29,1021,0.5988540116677353
Dunedin City,Maori,Male,Yes,30-39,462,0.4961472997867588
Dunedin City,Maori,Male,Yes,40-49,438,0.418904973358437
Dunedin City,Maori,Male,Yes,50-64,435,0.3874461893630434
Dunedin City,Maori,Male,Yes,65+,192,0.3538704225777858
Dunedin City,Non-Maori,Female,No,18-29,11647,0.38693988274640306
Dunedin City,Non-Maori,Female,No,30-39,6303,0.293945678290328
Dunedin City,Non-Maori,Female,No,40-49,7728,0.2335888441221606
Dunedin City,Non-Maori,Female,No,50-64,10995,0.21099372025444188
Dunedin City,Non-Maori,Female,No,65+,9798,0.18801572843502454
Dunedin City,Non-Maori,Male,No,18-29,10944,0.311242871735326
Dunedin City,Non-Maori,Male,No,30-39,5580,0.22962697573283278
Dunedin City,Non-Maori,Male,No,40-49,6855,0.17912634791812596
Dunedin City,Non-Maori,Male,No,50-64,10368,0.1606948110781964
Dunedin City,Non-Maori,Male,No,65+,7761,0.1422072705885077
Far North District,Maori,Female,Yes,18-29,1644,0.7876127548229169
Far North District,Maori,Female,Yes,30-39,1239,0.7098162461710141
Far North District,Maori,Female,Yes,40-49,1533,0.641672960210093
Far North District,Maori,Female,Yes,50-64,2040,0.6110773481132709
Far North District,Maori,Female,Yes,65+,1113,0.5763563840421608
Far North District,Maori,Male,Yes,18-29,1424,0.7264079816418748
Far North District,Maori,Male,Yes,30-39,924,0.6365382093000527
Far North District,Maori,Male,Yes,40-49,1281,0.5618100166268414
Far North District,Maori,Male,Yes,50-64,1677,0.5293964480100092
Far North District,Maori,Male,Yes,65+,882,0.4934284074935333
Far North District,Non-Maori,Female,No,18-29,1504,0.37244438511583594
Far North District,Non-Maori,Female,No,30-39,1473,0.2813352204450727
Far North District,Non-Maori,Female,No,40-49,2427,0.22275082833189855
Far North District,Non-Maori,Female,No,50-64,4569,0.20092922050847833
Far North District,Non-Maori,Female,No,65+,3873,0.17879890827396758
Far North District,Non-Maori,Male,No,18-29,1528,0.298203764349871
Far North District,Non-Maori,Male,No,30-39,1332,0.21892027447717755
Far North District,Non-Maori,Male,No,40-49,2139,0.1702539279507198
Far North District,Non-Maori,Male,No,50-64,4425,0.1525656575233
Far North District,Non-Maori,Male,No,65+,4176,0.13486307791418906
Gisborne District,Maori,Female,Yes,18-29,1757,0.638972256119119
Gisborne District,Maori,Female,Yes,30-39,1218,0.5386235736892745
Gisborne District,Maori,Female,Yes,40-49,1323,0.4608164112849969
Gisborne District,Maori,Female,Yes,50-64,1587,0.4285312789359314
Gisborne District,Maori,Female,Yes,65+,834,0.39368335229921525
Gisborne District,Maori,Male,Yes,18-29,1445,0.5589211439334715
Gisborne District,Maori,Male,Yes,30-39,966,0.4552900390430753
Gisborne District,Maori,Male,Yes,40-49,1065,0.37961612349174234
Gisborne District,Maori,Male,Yes,50-64,1404,0.3493341019065096
Gisborne District,Maori,Male,Yes,65+,612,0.31735001225617954
Gisborne District,Non-Maori,Female,No,18-29,1357,0.2932916581188318
Gisborne District,Non-Maori,Female,No,30-39,1371,0.21491421392099272
Gisborne District,Non-Maori,Female,No,40-49,1755,0.16694807429404906
Gisborne District,Non-Maori,Female,No,50-64,2721,0.1495413608372053
Gisborne District,Non-Maori,Female,No,65+,2532,0.13213498183329947
Gisborne District,Non-Maori,Male,No,18-29,1462,0.2290696335621541
Gisborne District,Non-Maori,Male,No,30-39,1251,0.16387481219298003
Gisborne District,Non-Maori,Male,No,40-49,1593,0.1254793563765957
Gisborne District,Non-Maori,Male,No,50-64,2685,0.11181599997342216
Gisborne District,Non-Maori,Male,No,65+,2148,0.09829327597212477
Gore District,Maori,Female,Yes,18-29,103,0.5073591870543315
